"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","V  000017 .M219  1898A","X004550384","The interest of America in sea power, present and future.","Mahan, A. T. (Alfred Thayer),",1897,FALSE
"2","ALDERMAN","V  000023 .B75  1942","X001183158","A glossary of sea terms,","Bradford, Gershom,",1942,FALSE
"3","ALDERMAN","V  000023 .P24  1997","X004145804","Ships of the world : an historical encyclopedia /","Paine, Lincoln P.",1997,FALSE
"4","ALDERMAN","V  000025 .C45  2010","X030804702","China, the United States, and 21st-century sea power : defining a maritime security partnership /","",2010,FALSE
"5","ALDERMAN","V  000025 .C67","X000217459","Sea power and strategy in the Indian Ocean /","Cottrell, Alvin J.",1981,FALSE
"6","ALDERMAN","V  000025 .G6713  1979","X000041699","The sea power of the state /","Gorshkov, Serge? Georgievich,",1979,FALSE
"7","ALDERMAN","V  000025 .H37  1999","X004302093","Seapower and naval warfare, 1650-1830 /","Harding, Richard,",1999,FALSE
"8","ALDERMAN","V  000025 .S4","X000159336","Sea power and influence : old issues and new challenges /","",1980,FALSE
"9","ALDERMAN","V  000025 .S73  2017","X031813791","Sea power : the history and geopolitics of the world's oceans /","Stavridis, James,",2017,FALSE
"10","ALDERMAN","V  000025 .T55  2009","X030595755","Seapower : a guide for the twenty-first century /","Till, Geoffrey.",2009,FALSE
"11","ALDERMAN","V  000027 .C3  1998","X006020270","The political influence of naval force in history /","Cable, James,",1998,FALSE
"12","ALDERMAN","V  000037 .H355  2009","X030506453","Lords of the sea : the epic story of the Athenian navy and the birth of democracy /","Hale, John R.,",2009,FALSE
"13","ALDERMAN","V  000039 .S7  1960","X000239409","The Roman imperial navy, 31 B. C.-A. D. 324.","Starr, Chester G.,",1960,FALSE
"14","ALDERMAN","V  000039 .V53","X000724809","Die römische Flotte : classis Romana /","Viereck, Hans D. L.",1975,FALSE
"15","ALDERMAN","V  000045 .G84","X001083001","Gunpowder and galleys : changing technology and Mediterranean warfare at sea in the sixteenth century /","Guilmartin, John F., (John Francis),",1974,FALSE
"16","ALDERMAN","V  000046 .C76  2008","X030279320","Empires of the sea : the final battle for the Mediterranean, 1521-1580 /","Crowley, Roger,",2008,FALSE
"17","ALDERMAN","V  000046 .M56  2009  V.000002","X031600837","The book of Michael of Rhodes : a fifteenth-century maritime manuscript /","Michael,",2009,TRUE
"18","ALDERMAN","V  000053 .K44  1989","X001503819","The price of admiralty : the evolution of naval warfare /","Keegan, John,",1989,FALSE
"19","ALDERMAN","V  000053 .S66  2001","X004527655","At war, at sea : sailors and naval warfare in the twentieth century /","Spector, Ronald H.,",2001,FALSE
"20","ALDERMAN","V  000063 .K56  B83","X000086581","Master of sea power : a biography of Fleet Admiral Ernest J. King /","Buell, Thomas B.",1980,FALSE
"21","ALDERMAN","V  000063 .N55  P67","X000308625","Nimitz /","Potter, E. B. (Elmer Belmont),",1976,FALSE
"22","ALDERMAN","V  000063 .R54  P64","X000357888","Rickover /","Polmar, Norman.",1982,FALSE
"23","ALDERMAN","V  000063 .R54  R63  1992","X002184344","The Rickover effect : how one man made a difference /","Rockwell, Theodore.",1992,TRUE
"24","ALDERMAN","V  000063 .R63  D86  2001","X004592572","Rickover : the struggle for excellence /","Duncan, Francis,",2001,TRUE
"25","ALDERMAN","V  000064 .G32  H566  1982","X000398289","Admiral von Hipper, the inconvenient hero /","Philbin, Tobias R.",1982,FALSE
"26","ALDERMAN","V  000064 .S712  L498  2011","X030843131","El día que Cartagena derrotó a Inglaterra /","Victoria, Pablo E.",2011,TRUE
"27","ALDERMAN","V  000087 .O945  2012","X030856569","No easy day : the autobiography of a Navy SEAL : the firsthand account of the mission that killed Osama bin Laden /","Owen, Mark.",2012,FALSE
"28","ALDERMAN","V  000103 .Y34  2018","X032214936","Arba?at kutub min tur?th ???ib al-?a?amah Sul??n ?a?ramawt al-Sul??n ??li? ibn Gh?lib al-Qu?ay?? : Hay?at al-mil??ah al-ba?r?yah, al-Mil??ah al-ba?r?yah, al-?ar?qah al-w??i?ah ilá al-jabr wa-al-muq?balah, al-Asr?r al-mun?awiyah f? al-muthallath?t al-mustawiyah /","Y?fi??, ??li? ibn Gh?lib al-Qu?ay??,",2018,FALSE
"29","ALDERMAN","V  000107 .B7  1965","X002537539","A guide to naval strategy.","Brodie, Bernard,",1965,FALSE
"30","ALDERMAN","V  000163 .H63  2002","X004804807","Imperialism at sea : naval strategic thought, the ideology of sea power, and the Tirpitz Plan, 1875-1914 /","Hobson, Rolf.",2002,FALSE
"31","ALDERMAN","V  000163 .M19  1991","X002048331","Mahan on naval strategy : selections from the writings of Rear Admiral Alfred Thayer Mahan /","Mahan, A. T. (Alfred Thayer),",1991,FALSE
"32","ALDERMAN","V  000165 .M37  1989","X001638995","Maritime strategy and the balance of power : Britain and America in the twentieth century /","",1989,FALSE
"33","ALDERMAN","V  000165 .N38  1988","X001360456","Naval strategy and national security : an International security reader /","",1988,FALSE
