"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","Z  000004 .A88  1990","X002106656","Scribes, script, and books : the book arts from antiquity to the Renaissance /","Avrin, Leila.",1991,FALSE
"2","ALDERMAN","Z  000004 .B37  2003","X004634166","Form and meaning in the history of the book : selected essays /","Barker, Nicolas.",2003,FALSE
"3","ALDERMAN","Z  000004 .B3718  2005","X031741042","Historia del libro /","Barbier, Frédéric.",2005,FALSE
"4","ALDERMAN","Z  000004 .B395  2001","X004501735","Patience & fortitude : a roving chronicle of book people, book places, and book culture /","Basbanes, Nicholas A.,",2001,FALSE
"5","ALDERMAN","Z  000004 .B647  2002","X004595153","The book history reader /","",2002,FALSE
"6","ALDERMAN","Z  000004 .B647  2006","X030196728","The book history reader /","",2006,FALSE
"7","ALDERMAN","Z  000004 .B648  2008  V.000001","X030465694","Books without borders /","",2008,TRUE
"8","ALDERMAN","Z  000004 .B66  1996","X004126246","The book, spiritual instrument /","",1996,FALSE
"9","ALDERMAN","Z  000004 .B66  2013","X031625834","The book : a global history /","",2013,FALSE
"10","ALDERMAN","Z  000004 .B67  2018","X031822151","The book /","Borsuk, Amaranth,",2018,FALSE
"11","ALDERMAN","Z  000004 .B74  2014","X031705661","The visible text : textual production and reproduction from Beowulf to Maus /","Bredehoft, Thomas A.,",2014,FALSE
"12","ALDERMAN","Z  000004 .B76  2015","X031806357","The Broadview reader in book history /","",2015,FALSE
"13","ALDERMAN","Z  000004 .B81  2014","X031724998","Buch - Bibliothek - Region : Wolfgang Schmitz zum 65. Geburtstag /","",2014,FALSE
"14","ALDERMAN","Z  000004 .C3  1967","X006172241","Printing and the mind of man: a descriptive catalogue illustrating the impact of print on the evolution of Western civilization during five centuries;","Carter, John,",1967,FALSE
"15","ALDERMAN","Z  000004 .C654  2016","X031848615","Doce siglos de materialidad del libro : estudios sobre manuscritos e impresos entre los siglos VIII y XIX /","Congreso Internacional sobre el Libro Medieval y Moderno",2017,FALSE
"16","ALDERMAN","Z  000004 .C73  2007","X030337921","A companion to the history of the book /","",2007,FALSE
"17","ALDERMAN","Z  000004 .C857  1999","X004734446","The culture of the book : essays from two hemispheres in honour of Wallace Kirsop /","",1999,FALSE
"18","ALDERMAN","Z  000004 .D26  2003","X004767781","The myth of print culture : essays on evidence, textuality, and bibliographical method /","Dane, Joseph A.",2003,FALSE
"19","ALDERMAN","Z  000004 .E25  2008","X030457477","Printing the Middle Ages /","Echard, Siân.",2008,FALSE
"20","ALDERMAN","Z  000004 .F413  1976","X000310456","The coming of the book : the impact of printing 1450-1800 /","Febvre, Lucien,",1976,FALSE
"21","ALDERMAN","Z  000004 .F49  2005","X004909350","An introduction to book history /","Finkelstein, David,",2005,FALSE
"22","ALDERMAN","Z  000004 .H69  2005","X004903449","The book : the life story of a technology /","Howard, Nicole.",2005,FALSE
"23","ALDERMAN","Z  000004 .H695  2006","X030145479","Old books and new histories : an orientation to studies in book and print culture /","Howsam, Leslie.",2006,FALSE
"24","ALDERMAN","Z  000004 .K54  1998","X004183679","The evolution of the book /","Kilgour, Frederick G.",1998,FALSE
"25","ALDERMAN","Z  000004 .L58  1995","X002624170","The art & history of books /","Levarie, Norma.",1995,FALSE
"26","ALDERMAN","Z  000004 .L584  2017","X031818861","The Broadview introduction to book history /","Levy, Michelle,",2017,FALSE
"27","ALDERMAN","Z  000004 .L95  2011","X031186702","Books : a living history /","Lyons, Martyn.",2011,FALSE
"28","ALDERMAN","Z  000004 .L96  2010","X030607865","A history of reading and writing : in the western world /","Lyons, Martyn.",2010,FALSE
"29","ALDERMAN","Z  000004 .M15  1943","X000130064","The book; the story of printing & bookmaking,","McMurtrie, Douglas C. (Douglas Crawford),",1943,FALSE
"30","ALDERMAN","Z  000004 .M3612  1936","X032086266","Shu de gu shi = Black on white : the story of books /","Il?in, M. (Mikhail),",1936,FALSE
"31","ALDERMAN","Z  000004 .M43  2014","X031724900","Material moments in book cultures : essays in honour of Gabriele Müller-Oberhäuser /","",2014,FALSE
"32","ALDERMAN","Z  000004 .M58  1994","X002668327","A millennium of the book : production, design & illustration in manuscript & print, 900-1900 /","",1994,FALSE
"33","ALDERMAN","Z  000004 .O74  2015","X031666493","The reader in the book : a study of spaces and traces /","Orgel, Stephen",2015,FALSE
"34","ALDERMAN","Z  000004 .O946  2010  V.000002","X030611686","The Oxford companion to the book /","",2010,TRUE
"35","ALDERMAN","Z  000004 .P43  2008","X030278176","Books as history : the importance of books beyond their texts /","Pearson, David,",2008,FALSE
